Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
08-Mar-19,4816.05,4828.05,4773.45,4795.5,285064114,3561.75
11-Mar-19,4812.3,4916.9,4810.95,4912.1,328983746,4754.72
12-Mar-19,4940.25,4957.55,4904.15,4917.95,314808584,4695.96
13-Mar-19,4921.25,4927.45,4877.65,4884.6,277084426,4242.75
14-Mar-19,4898.55,4915.5,4860.1,4890.1,332313022,4577.21
15-Mar-19,4906.2,4948.15,4904.75,4932.8,525505111,7185.98
18-Mar-19,4955.2,4968.4,4907,4923,377101310,3936.4
19-Mar-19,4946.85,4975.65,4922.95,4962.95,458802574,5572.31
20-Mar-19,4971.65,4971.8,4924.75,4934.25,361088725,4540.69
22-Mar-19,4945.05,4965.9,4891.55,4897.45,317279884,4128.4
25-Mar-19,4860.95,4894.15,4839.5,4884.7,331600164,4401.27
26-Mar-19,4897.35,4964.5,4893,4956.45,448049873,5093.32
27-Mar-19,4978.05,5015.35,4968.05,4974.1,423860778,4957.85
28-Mar-19,4986.8,5044.4,4983.3,5024.85,470616187,6098.8
29-Mar-19,5048.5,5099.85,5042.45,5077.85,423231838,6132.9
01-Apr-19,5098,5134.3,5084.9,5096.9,342934430,5233.33
02-Apr-19,5109.3,5122.9,5071.45,5102.85,355002173,5150.43
03-Apr-19,5119.05,5137.45,5025.25,5036.15,314103244,4786.28
04-Apr-19,5045.3,5061.3,5007.45,5026.5,287164203,4671.54
05-Apr-19,5044.3,5085.6,5043.25,5079.25,267003385,4365.27
08-Apr-19,5101.15,5101.6,5018.95,5037.65,257582450,3980.83
09-Apr-19,5040.75,5070.8,4996.95,5066.65,243929624,3721.58
10-Apr-19,5053.6,5078.65,5031.55,5039.35,218787100,3441.55
11-Apr-19,5040.55,5052.45,5006.7,5030.7,246278895,3667.16
12-Apr-19,5035.6,5068,5031.5,5062.2,234368566,3423.54
15-Apr-19,5074.95,5094.75,5066.75,5083.65,184966954,2833.64
16-Apr-19,5092.55,5104.55,5083.95,5087.95,173246243,2941.81
18-Apr-19,5102.5,5102.7,5018.55,5034,229487657,3811.18
22-Apr-19,5016.35,5016.45,4918.15,4927.55,203002574,3037.87
23-Apr-19,4930.05,4962.3,4902.7,4929.25,220062843,3426.78
24-Apr-19,4940.1,4951.25,4905.05,4942.25,196812746,3150.52
25-Apr-19,4949.95,4970.4,4907.15,4914.8,252854259,3955.64
26-Apr-19,4933.6,4937.45,4878.5,4917.25,198335948,3038.53
30-Apr-19,4917.25,4917.25,4831.75,4862.45,244252400,3577.39
02-May-19,4843.7,4880.9,4812.5,4823.65,224171346,3820.05
03-May-19,4830.55,4855.95,4819.45,4841.95,215884538,3391.27
06-May-19,4810.1,4830.4,4793.75,4808.45,213478851,3661.64
07-May-19,4832.95,4839.5,4733.95,4741.95,216747938,3308.28
08-May-19,4726.7,4746.15,4684.2,4695.95,231358430,3814.22
09-May-19,4685.95,4712.9,4662.4,4695.55,209982294,3357.97
10-May-19,4696.25,4726.95,4688.1,4708.4,204310458,3543.73
13-May-19,4690.6,4694.7,4580.2,4588.95,257424825,3274.53
14-May-19,4578.85,4642.55,4533.3,4622.05,315751340,4479.65
15-May-19,4630.85,4649.3,4574.85,4585,224882048,4020.97
16-May-19,4595.5,4613.9,4546.85,4602.85,236275771,4145.11
17-May-19,4605.35,4676.6,4594.15,4674,227270486,3621.44
20-May-19,4798.6,4885.95,4788.65,4882.2,348079587,4783.91
21-May-19,4895.7,4895.7,4789.95,4804.8,237706678,3817.81
22-May-19,4804.15,4813.85,4740.45,4793.35,304566659,4131.82
23-May-19,4867.15,4945.5,4770.45,4788.55,424726338,5075.41
24-May-19,4815.85,4919.25,4796.45,4909.6,328342006,5209.76
27-May-19,4919.9,5006.8,4911.35,5001.2,286763042,4361.24
28-May-19,5015.5,5028.85,4979.3,4992.05,375239905,5443.05
29-May-19,4984.35,4986.5,4928,4936.5,259382859,3549.59
